Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Domaine des Mimosas Lalande-de-Pomerol 2021,Lalande-de-Pomerol,Lalande-de-Pomerol,France,Domaine des Mimosas,Bordeaux Right Bank,Libournais Red,2021,4,17.99,EUR,Bottle (0.75l)
Cignomoro Susumaniello 2020,Susumaniello,Salento,Italy,Cignomoro,Southern Italy,Red,2020,4.2,17.99,EUR,Bottle (0.75l)
Château l'Eperon L'Éclat du Château l'Eperon Bordeaux Supérieur 2019,L'Éclat du Château l'Eperon Bordeaux Supérieur,Bordeaux Supérieur,France,Château l'Eperon,Bordeaux,Red,2019,4.1,18,EUR,Bottle (0.75l)
Domaine de Blancardy Obligation 2020,Obligation,Languedoc,France,Domaine de Blancardy,Languedoc-Roussillon,Red,2020,4.2,18,EUR,Bottle (0.75l)
Domaine Ciry Cattaneo Sang Neuf Malbec 2017,Sang Neuf Malbec,Pays d'Oc,France,Domaine Ciry Cattaneo,Languedoc-Roussillon,Red,2017,4,18,EUR,Bottle (0.75l)
Château le Rey Les Argileuses 2019,Les Argileuses,Bordeaux,France,Château le Rey,Bordeaux,Red,2019,4,18,EUR,Bottle (0.75l)
Château l'Eperon L'Éclat du Château l'Eperon Bordeaux Supérieur 2018,L'Éclat du Château l'Eperon Bordeaux Supérieur,Bordeaux Supérieur,France,Château l'Eperon,Bordeaux,Red,2018,4.1,18,EUR,Bottle (0.75l)
Sainte Cécile du Parc Sonatina 2020,Sonatina,Pézenas,France,Sainte Cécile du Parc,Languedoc-Roussillon,Red,2020,4.2,18,EUR,Bottle (0.75l)
Cantele Teresamanara Negroamaro 2018,Teresamanara Negroamaro,Salento,Italy,Cantele,Southern Italy,Red,2018,4.2,18,EUR,Bottle (0.75l)
Domaine Bonnet-Cotton Bas Les Masques Rouge 2022,Bas Les Masques Rouge,Beaujolais,France,Domaine Bonnet-Cotton,Beaujolais,Red,2022,4,18,EUR,Bottle (0.75l)
Domaine de la Rectorie L'Argelague Collioure 2018,L'Argelague Collioure,Collioure,France,Domaine de la Rectorie,Languedoc-Roussillon,Red,2018,4.2,18,EUR,Bottle (0.75l)
Domaine Christophe Pichon Crozes-Hermitage 2022,Crozes-Hermitage,Crozes-Hermitage,France,Domaine Christophe Pichon,Northern Rhône,Crozes-Hermitage,2022,4.2,18,EUR,Bottle (0.75l)
Domaine de la Rectorie L'Argelague Collioure 2018,L'Argelague Collioure,Collioure,France,Domaine de la Rectorie,Languedoc-Roussillon,Red,2018,4.2,18,EUR,Bottle (0.75l)
Clos du Caillou Côtes du Rhône Le Bouquet Des Garrigues 2021,Côtes du Rhône Le Bouquet Des Garrigues,Côtes-du-Rhône,France,Clos du Caillou,Southern Rhône,Red,2021,4.1,18,EUR,Bottle (0.75l)
Château Roseyrol Castillon Côtes De Bordeaux 2020,Castillon Côtes De Bordeaux,Castillon - Côtes de Bordeaux,France,Château Roseyrol,Bordeaux,Red,2020,4,18,EUR,Bottle (0.75l)
Domaine Depeyre Cuvée Sainte-Colombe Côtes du Roussillon Villages 2021,Cuvée Sainte-Colombe Côtes du Roussillon Villages,Côtes du Roussillon Villages,France,Domaine Depeyre,Languedoc-Roussillon,Red,2021,4.1,18,EUR,Bottle (0.75l)
Château de la Roulerie PHI ? Cabernet Franc Nature 2023,PHI ? Cabernet Franc Nature,Anjou,France,Château de la Roulerie,Middle Loire,Cabernet Franc,2023,4,18,EUR,Bottle (0.75l)
Domaine Fontanel Cistes Côtes du Roussillon Villages Tautavel 2020,Cistes Côtes du Roussillon Villages Tautavel,Côtes du Roussillon Villages,France,Domaine Fontanel,Languedoc-Roussillon,Red,2020,4,18,EUR,Bottle (0.75l)
