Name,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Château Lafont-Fourcat À Nos Amours 2019,À Nos Amours,Bordeaux,France,Château Lafont-Fourcat,Bordeaux,Red,2019,4,20.57,EUR,Bottle (0.75l)
Château Lafont-Fourcat À Nos Amours 2022,À Nos Amours,Bordeaux,France,Château Lafont-Fourcat,Bordeaux,Red,2022,4,20.57,EUR,Bottle (0.75l)
Château Lafont-Fourcat À Nos Amours 2020,À Nos Amours,Bordeaux,France,Château Lafont-Fourcat,Bordeaux,Red,2020,4,20.57,EUR,Bottle (0.75l)
Château Lafont-Fourcat À Nos Amours 2021,À Nos Amours,Bordeaux,France,Château Lafont-Fourcat,Bordeaux,Red,2021,4,20.57,EUR,Bottle (0.75l)
Domaine Lafage Double Passage 2022,Double Passage,Languedoc-Roussillon,France,Domaine Lafage,Languedoc-Roussillon,Grenache,2022,4.2,20.6,EUR,Bottle (0.75l)
Château Grand Corbin-Despagne Petit Corbin-Despagne Saint-Émilion Grand Cru 2019,Petit Corbin-Despagne Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Grand Corbin-Despagne,Bordeaux Right Bank,Saint-Émilion,2019,4.1,20.6,EUR,Bottle (0.75l)
Gayda Chemin de Moscou 2021,Chemin de Moscou,Pays d'Oc,France,Gayda,Languedoc-Roussillon,Red,2021,4.1,20.6,EUR,Bottle (0.75l)
Château Carbonnieux La Croix de Carbonnieux Pessac-Léognan 2019,La Croix de Carbonnieux Pessac-Léognan,Pessac-Léognan,France,Château Carbonnieux,Bordeaux Left Bank,Pessac-Léognan,2019,4.1,20.6,EUR,Bottle (0.75l)
Brunel de la Gardine Vacqueyras 2021,Vacqueyras,Vacqueyras,France,Brunel de la Gardine,Southern Rhône,Red,2021,4.1,20.65,EUR,Bottle (0.75l)
Château Grand Escalion Safranée Costières de Nîmes 2022,Safranée Costières de Nîmes,Costières-de-Nîmes,France,Château Grand Escalion,Southern Rhône,Red,2022,4,20.7,EUR,Bottle (0.75l)
Albert Bichot Bourgogne Pinot Noir Origines 2021,Bourgogne Pinot Noir Origines,Bourgogne,France,Albert Bichot,Burgundy,Red,2021,4,20.7,EUR,Bottle (0.75l)
Peyrassol Cuvée des Commandeurs Côtes de Provence Rouge 2022,Cuvée des Commandeurs Côtes de Provence Rouge,Côtes de Provence,France,Peyrassol,Provence,Red,2022,4,20.7,EUR,Bottle (0.75l)
Frédéric Berne Régnié Aux Bruyères 2022,Régnié Aux Bruyères,Régnié,France,Frédéric Berne,Beaujolais,Red,2022,4.1,20.7,EUR,Bottle (0.75l)
Aubert et Mathieu Rafa Côtes du Roussillon Villages 'Caramany' 2019,Rafa Côtes du Roussillon Villages 'Caramany',Côtes du Roussillon Villages 'Caramany',France,Aubert et Mathieu,Languedoc-Roussillon,Red,2019,4,20.7,EUR,Bottle (0.75l)
La Perrière Sancerre Rouge 2022,Sancerre Rouge,Sancerre,France,La Perrière,Upper Loire Valley,Red,2022,4,20.7,EUR,Bottle (0.75l)
Château Puy-Blanquet Saint-Émilion Grand Cru 2018,Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Puy-Blanquet,Bordeaux Right Bank,Saint-Émilion,2018,4,20.7,EUR,Bottle (0.75l)
Feudi Salentini Appassimento 2022,Appassimento,Salento,Italy,Feudi Salentini,Southern Italy,Red,2022,4.2,20.7,EUR,Bottle (0.75l)
Domaine Fournier Père et Fils Sancerre Rouge 'Les Belles Vignes' 2021,Sancerre Rouge 'Les Belles Vignes',Sancerre,France,Domaine Fournier Père et Fils,Upper Loire Valley,Red,2021,4.1,20.7,EUR,Bottle (0.75l)
Casanova di Neri Irrosso 2022,Irrosso,Toscana,Italy,Casanova di Neri,Tuscan,Red,2022,4,20.7,EUR,Bottle (0.75l)
Banfi Rosso di Montalcino 2022,Rosso di Montalcino,Rosso di Montalcino,Italy,Banfi,Tuscan,Red,2022,4,20.7,EUR,Bottle (0.75l)
Château de Pierreux Brouilly 2022,Brouilly,Brouilly,France,Château de Pierreux,Beaujolais,Red,2022,4,20.76,EUR,Bottle (0.75l)
Seghesio Barbera d'Alba 2021,Barbera d'Alba,Barbera d'Alba,Italy,Seghesio,Italian,Barbera,2021,4,20.77,EUR,Bottle (0.75l)
Jean Loron Champ de Cour Moulin à Vent 2018,Champ de Cour Moulin à Vent,Moulin-à-Vent,France,Jean Loron,Beaujolais,Red,2018,4.2,20.79,EUR,Bottle (0.75l)
Château Mont-Redon Lirac 2019,Lirac,Lirac,France,Château Mont-Redon,Southern Rhône,Red,2019,4,20.8,EUR,Bottle (0.75l)
Domaine Aurore Bachelet Bourgogne Hautes-Côtes de Beaune 2023,Bourgogne Hautes-Côtes de Beaune,Bourgogne Hautes-Côtes de Beaune,France,Domaine Aurore Bachelet,Burgundy,Red,2023,4.1,20.8,EUR,Bottle (0.75l)
Umberto Cesari Laurento Sangiovese Riserva 2021,Laurento Sangiovese Riserva,Sangiovese di Romagna,Italy,Umberto Cesari,Northern Italy,Red,2021,4,20.8,EUR,Bottle (0.75l)
Rocca di Frassinello Maremma Toscana Le Sughere di Frassinello 2021,Maremma Toscana Le Sughere di Frassinello,Maremma Toscana,Italy,Rocca di Frassinello,Tuscan,Red,2021,4,20.8,EUR,Bottle (0.75l)
Domaine de la Grosse Pierre Chiroubles 2020,Chiroubles,Chiroubles,France,Domaine de la Grosse Pierre,Beaujolais,Red,2020,4,20.8,EUR,Bottle (0.75l)
Viña Pomal Reserva 2017,Reserva,Rioja,Spain,Viña Pomal,Spanish,Rioja Red,2017,4,20.8,EUR,Bottle (0.75l)
Barone Pizzini Cervo Volante Montenetto di Brescia Rosso 2019,Cervo Volante Montenetto di Brescia Rosso,Montenetto di Brescia,Italy,Barone Pizzini,Northern Italy,Red,2019,4.2,20.84,EUR,Bottle (0.75l)
Bodegas Olarra Cerro Añon Rioja Gran Reserva 2018,Cerro Añon Rioja Gran Reserva,Rioja,Spain,Bodegas Olarra,Spanish,Rioja Red,2018,4.2,20.85,EUR,Bottle (0.75l)
Château de Brézé Saumur-Champigny 2020,Saumur-Champigny,Saumur-Champigny,France,Château de Brézé,Middle Loire,Cabernet Franc,2020,4.1,20.86,EUR,Bottle (0.75l)
Yves Cuilleron Labaya Crozes-Hermitage 2021,Labaya Crozes-Hermitage,Crozes-Hermitage,France,Yves Cuilleron,Northern Rhône,Crozes-Hermitage,2021,4,20.86,EUR,Bottle (0.75l)
Henry Pellé Menetou-Salon Morogues Rouge 2022,Menetou-Salon Morogues Rouge,Menetou-Salon,France,Henry Pellé,Upper Loire Valley,Red,2022,4,20.86,EUR,Bottle (0.75l)
Conti Thun Groppello Riviera del Garda Classico 2022,Groppello Riviera del Garda Classico,Lombardia,Italy,Conti Thun,Northern Italy,Red,2022,4.1,20.89,EUR,Bottle (0.75l)
Chateau d'Eck Pessac-Léognan Rouge 2020,Pessac-Léognan Rouge,Pessac-Léognan,France,Chateau d'Eck,Bordeaux Left Bank,Pessac-Léognan,2020,4,20.89,EUR,Bottle (0.75l)
Azienda Agricola La Torre Ampelio 2022,Ampelio,Toscana,Italy,Azienda Agricola La Torre,Tuscan,Red,2022,4,20.9,EUR,Bottle (0.75l)
Château La Grangére Chateau Saint-Julian Cuvée Analogie Bordeaux Supérieur 2020,Chateau Saint-Julian Cuvée Analogie Bordeaux Supérieur,Bordeaux Supérieur,France,Château La Grangére,Bordeaux,Red,2020,4.1,20.9,EUR,Bottle (0.75l)
Château de Rochemorin Pessac-Léognan Rouge 2018,Pessac-Léognan Rouge,Pessac-Léognan,France,Château de Rochemorin,Bordeaux Left Bank,Pessac-Léognan,2018,4.1,20.9,EUR,Bottle (0.75l)
Carriere Pradal Troglodytes 2018,Troglodytes,Languedoc,France,Carriere Pradal,Languedoc-Roussillon,Red,2018,4,20.9,EUR,Bottle (0.75l)
Famille Perrin Gigondas La Gille 2021,Gigondas La Gille,Gigondas,France,Famille Perrin,Southern Rhône,Red,2021,4,20.9,EUR,Bottle (0.75l)
Florence Alquier Rieutord Faugères 2017,Rieutord Faugères,Faugères,France,Florence Alquier,Languedoc-Roussillon,Red,2017,4,20.9,EUR,Bottle (0.75l)
Domaine de la Bonne Tonne Morgon 'Les Charmes' 2022,Morgon 'Les Charmes',Morgon,France,Domaine de la Bonne Tonne,Beaujolais,Red,2022,4,20.9,EUR,Bottle (0.75l)
Domaine de Fondrèche Persia 2021,Persia,Ventoux,France,Domaine de Fondrèche,Southern Rhône,Red,2021,4,20.9,EUR,Bottle (0.75l)
Domaine Le Colombier Tradition Vacqueyras 2020,Tradition Vacqueyras,Vacqueyras,France,Domaine Le Colombier,Southern Rhône,Red,2020,4,20.9,EUR,Bottle (0.75l)
San Felice Il Grigio Chianti Classico Riserva 2021,Il Grigio Chianti Classico Riserva,Chianti Classico,Italy,San Felice,Italian,Chianti Classico,2021,4.1,20.9,EUR,Bottle (0.75l)
Notte Rossa Primitivo di Manduria Riserva 2019,Primitivo di Manduria Riserva,Primitivo di Manduria,Italy,Notte Rossa,Southern Italy,Primitivo,2019,4.1,20.9,EUR,Bottle (0.75l)
Olivier Pithon Cuvée Laïs Rouge 2020,Cuvée Laïs Rouge,Côtes du Roussillon,France,Olivier Pithon,Languedoc-Roussillon,Red,2020,4,20.9,EUR,Bottle (0.75l)
Legón Ribera del Duero Premium 2019,Ribera del Duero Premium,Ribera del Duero,Spain,Legón,Spanish,Ribera Del Duero Red,2019,4,20.95,EUR,Bottle (0.75l)
El Principal Calicanto 2021,Calicanto,Maipo Valley,Chile,El Principal,,,2021,4.2,20.95,EUR,Bottle (0.75l)
Montaribaldi Dü Gir Barbera d'Alba 2020,Dü Gir Barbera d'Alba,Barbera d'Alba,Italy,Montaribaldi,Italian,Barbera,2020,4.2,20.95,EUR,Bottle (0.75l)
Château Les Valentines La Gourmande Bio Côtes de Provence La Londe 2020,La Gourmande Bio Côtes de Provence La Londe,La Londe,France,Château Les Valentines,Provence,Red,2020,4.1,20.95,EUR,Bottle (0.75l)
Francis Ford Coppola Winery Diamond Collection Zinfandel 2022,Diamond Collection Zinfandel,California,United States,Francis Ford Coppola Winery,Californian,Zinfandel,2022,4,20.95,EUR,Bottle (0.75l)
Planeta Maroccoli Syrah 2020,Maroccoli Syrah,Menfi,Italy,Planeta,Southern Italy,Red,2020,4,20.95,EUR,Bottle (0.75l)
Cepa 21 Ribera del Duero Tinto 2020,Ribera del Duero Tinto,Ribera del Duero,Spain,Cepa 21,Spanish,Ribera Del Duero Red,2020,4.1,20.95,EUR,Bottle (0.75l)
Bodega Numanthia Termes 2017,Termes,Toro,Spain,Bodega Numanthia,Spanish,Toro Red,2017,4,20.95,EUR,Bottle (0.75l)
Jean-Louis Trocard Château Franc La Rose Saint-Émilion Grand Cru 2020,Château Franc La Rose Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Jean-Louis Trocard,Bordeaux Right Bank,Saint-Émilion,2020,4.1,20.95,EUR,Bottle (0.75l)
Château Yon-Figeac Les Roches de Yon Figeac Saint-Émilion Grand Cru 2019,Les Roches de Yon Figeac Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Yon-Figeac,Bordeaux Right Bank,Saint-Émilion,2019,4.1,20.95,EUR,Bottle (0.75l)
Quinta do Pégo Douro Grande Reserva 2017,Douro Grande Reserva,Douro,Portugal,Quinta do Pégo,Portuguese,Douro Red,2017,4.1,20.95,EUR,Bottle (0.75l)
Salizzoni Lagrein Riserva 2022,Lagrein Riserva,Trentino,Italy,Salizzoni,Northern Italy,Red,2022,4.1,20.96,EUR,Bottle (0.75l)
Petrucco Ronco del Balbo Merlot 2018,Ronco del Balbo Merlot,Colli Orientali del Friuli,Italy,Petrucco,Northern Italy,Red,2018,4.1,20.96,EUR,Bottle (0.75l)
Château Prieuré de Beyzac Quintessence Haut-Médoc 2011,Quintessence Haut-Médoc,Haut-Médoc,France,Château Prieuré de Beyzac,Bordeaux Left Bank,Haut-Médoc,2011,4,21,EUR,Bottle (0.75l)
Domaine de la Rectorie L'Oriental Collioure 2022,L'Oriental Collioure,Collioure,France,Domaine de la Rectorie,Languedoc-Roussillon,Red,2022,4.2,21,EUR,Bottle (0.75l)
Château Haut-Châtain Lalande de Pomerol 2020,Lalande de Pomerol,Lalande-de-Pomerol,France,Château Haut-Châtain,Bordeaux Right Bank,Libournais Red,2020,4.1,21,EUR,Bottle (0.75l)
Domaine Olga Raffault Les Picasses Chinon 2019,Les Picasses Chinon,Chinon,France,Domaine Olga Raffault,Middle Loire,Cabernet Franc,2019,4,21,EUR,Bottle (0.75l)
Castello Monaci Salice Salentino Riserva Aiace 2020,Salice Salentino Riserva Aiace,Salice Salentino,Italy,Castello Monaci,Southern Italy,Red,2020,4.1,21,EUR,Bottle (0.75l)
Clos des Reboussiers Pura Vida 2021,Pura Vida,Saint-Guilhem-le-Desert,France,Clos des Reboussiers,Languedoc-Roussillon,Red,2021,4.1,21,EUR,Bottle (0.75l)
Quinta dos Termos Reserva Vinhas Velhas 2020,Reserva Vinhas Velhas,Beira Interior,Portugal,Quinta dos Termos,Central Portugal,Red,2020,4.1,21,EUR,Bottle (0.75l)
Cà Maiol Fabio Contato Valtènesi Rosso 2023,Fabio Contato Valtènesi Rosso,Garda,Italy,Cà Maiol,Northern Italy,Red,2023,4,21,EUR,Bottle (0.75l)
Clos Marsalette Pessac-Leognan 2021,Pessac-Leognan,Pessac-Léognan,France,Clos Marsalette,Bordeaux Left Bank,Pessac-Léognan,2021,4,21,EUR,Bottle (0.75l)
Dominio de Cair Selección La Aguilera 2020,Selección La Aguilera,Ribera del Duero,Spain,Dominio de Cair,Spanish,Ribera Del Duero Red,2020,4,21,EUR,Bottle (0.75l)
Château Haut-Châtain Lalande de Pomerol 2018,Lalande de Pomerol,Lalande-de-Pomerol,France,Château Haut-Châtain,Bordeaux Right Bank,Libournais Red,2018,4.3,21,EUR,Bottle (0.75l)
Massaya Le Colombier 2020,Le Colombier,Bekaa Valley,Lebanon,Massaya,Lebanese,Red,2020,4,21,EUR,Bottle (0.75l)
Château des Annereaux Lalande-de-Pomerol 2019,Lalande-de-Pomerol,Lalande-de-Pomerol,France,Château des Annereaux,Bordeaux Right Bank,Libournais Red,2019,4.2,21,EUR,Bottle (0.75l)
Château Charmail Haut-Médoc 2019,Haut-Médoc,Haut-Médoc,France,Château Charmail,Bordeaux Left Bank,Haut-Médoc,2019,4,21,EUR,Bottle (0.75l)
Cascina Valle Asinari Barbera d'Asti Superiore 2021,Barbera d'Asti Superiore,Barbera d'Asti,Italy,Cascina Valle Asinari,Italian,Barbera,2021,4.1,21,EUR,Bottle (0.75l)
Poggio le Volpi Baccarossa 2022,Baccarossa,Lazio,Italy,Poggio le Volpi,Central Italy,Red,2022,4.2,21,EUR,Bottle (0.75l)
Clos Bonnefare Montravel Rouge 2018,Montravel Rouge,Montravel,France,Clos Bonnefare,Southwest France,Red,2018,4.1,21,EUR,Bottle (0.75l)
Château Haut-Châtain Lalande de Pomerol 2022,Lalande de Pomerol,Lalande-de-Pomerol,France,Château Haut-Châtain,Bordeaux Right Bank,Libournais Red,2022,4.1,21,EUR,Bottle (0.75l)
Tobelos Tahon de Tobelos Reserva 2016,Tahon de Tobelos Reserva,Rioja,Spain,Tobelos,Spanish,Rioja Red,2016,4.1,21,EUR,Bottle (0.75l)
Domaine la Provenquière Achilleus Rouge 2019,Achilleus Rouge,Pays d'Oc,France,Domaine la Provenquière,Languedoc-Roussillon,Red,2019,4,21,EUR,Bottle (0.75l)
Garagewine Garnacha Tintorera 2020,Garnacha Tintorera,Castilla,Spain,Garagewine,Spanish,Red,2020,4,21,EUR,Bottle (0.75l)
Château Thivin Brouilly Reverdon 2022,Brouilly Reverdon,Brouilly,France,Château Thivin,Beaujolais,Red,2022,4,21,EUR,Bottle (0.75l)
Lavau Gigondas 2020,Gigondas,Gigondas,France,Lavau,Southern Rhône,Red,2020,4,21,EUR,Bottle (0.75l)
Château Charmail Haut-Médoc 2021,Haut-Médoc,Haut-Médoc,France,Château Charmail,Bordeaux Left Bank,Haut-Médoc,2021,4,21,EUR,Bottle (0.75l)
Paladin Casa Lupo Valpolicella Ripasso Superiore 2021,Casa Lupo Valpolicella Ripasso Superiore,Valpolicella Ripasso,Italy,Paladin,Italian,Ripasso,2021,4.3,21,EUR,Bottle (0.75l)
Tinto Pesquera Crianza 2021,Crianza,Ribera del Duero,Spain,Tinto Pesquera,Spanish,Ribera Del Duero Red,2021,4.2,21,EUR,Bottle (0.75l)
Maison Bardet Soeurette Saint-Emilion 2020,Soeurette Saint-Emilion,Saint-Émilion,France,Maison Bardet,Bordeaux Right Bank,Saint-Émilion,2020,4.1,21,EUR,Bottle (0.75l)
Vignobles Bedrenne Halictus Lalande-de-Pomerol 2022,Halictus Lalande-de-Pomerol,Lalande-de-Pomerol,France,Vignobles Bedrenne,Bordeaux Right Bank,Libournais Red,2022,4.2,21,EUR,Bottle (0.75l)
Château Corbin XX de Corbin Saint-Émilion 2017,XX de Corbin Saint-Émilion,Saint-Émilion,France,Château Corbin,Bordeaux Right Bank,Saint-Émilion,2017,4,21,EUR,Bottle (0.75l)
Bodegas Quinta de Aves Phoenix 2020,Phoenix,Castilla,Spain,Bodegas Quinta de Aves,Spanish,Tempranillo,2020,4.1,21,EUR,Bottle (0.75l)
Château La Tour Figeac L'Esquisse de La Tour Figeac Saint-Émilion 2020,L'Esquisse de La Tour Figeac Saint-Émilion,Saint-Émilion,France,Château La Tour Figeac,Bordeaux Right Bank,Saint-Émilion,2020,4,21,EUR,Bottle (0.75l)
Château La Gaffelière Clos La Gaffeliere Saint-Émilion Grand Cru 2023,Clos La Gaffeliere Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château La Gaffelière,Bordeaux Right Bank,Saint-Émilion,2023,4,21,EUR,Bottle (0.75l)
Château de Chambrun - Château Moncets Château Moncets Lalande de Pomerol 2019,Château Moncets Lalande de Pomerol,Lalande-de-Pomerol,France,Château de Chambrun - Château Moncets,Bordeaux Right Bank,Libournais Red,2019,4.1,21,EUR,Bottle (0.75l)
Giovanni Rosso Langhe Nebbiolo 2021,Langhe Nebbiolo,Langhe,Italy,Giovanni Rosso,Italian,Nebbiolo,2021,4,21,EUR,Bottle (0.75l)
Château Chasse-Spleen L'Oratoire de Chasse-Spleen Moulis 2017,L'Oratoire de Chasse-Spleen Moulis,Moulis-en-Médoc,France,Château Chasse-Spleen,Bordeaux Left Bank,Moulis-en-Médoc,2017,4.1,21.02,EUR,Bottle (0.75l)
Gulfi Cerasuolo Di Vittoria 2023,Cerasuolo Di Vittoria,Cerasuolo di Vittoria,Italy,Gulfi,Southern Italy,Red,2023,4,21.04,EUR,Bottle (0.75l)
Soraighe G?dum Cabernet Sauvignon 2018,G?dum Cabernet Sauvignon,Veneto,Italy,Soraighe,Northern Italy,Red,2018,4.1,21.04,EUR,Magnum Bottle (1.5 l)
Sources de l'Oppidum Les 18 Côtes-du-Rhône 2023,Les 18 Côtes-du-Rhône,Côtes-du-Rhône,France,Sources de l'Oppidum,Southern Rhône,Red,2023,4.1,21.07,EUR,Bottle (0.75l)
Domaine Fournier Père et Fils Sancerre Rouge 'Les Belles Vignes' 2022,Sancerre Rouge 'Les Belles Vignes',Sancerre,France,Domaine Fournier Père et Fils,Upper Loire Valley,Red,2022,4.1,21.1,EUR,Bottle (0.75l)
Château La Gaffelière Dame Gaffelière Saint-Émilion Grand Cru 2021,Dame Gaffelière Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château La Gaffelière,Bordeaux Right Bank,Saint-Émilion,2021,4.1,21.1,EUR,Bottle (0.75l)
Michele Chiarlo Cipressi Nizza 2022,Cipressi Nizza,Nizza,Italy,Michele Chiarlo,Italian,Barbera,2022,4,21.1,EUR,Bottle (0.75l)
Morgenster Estate Cabernet Franc 2022,Cabernet Franc,Stellenbosch,South Africa,Morgenster Estate,South African,Cabernet Franc,2022,4,21.11,EUR,Bottle (0.75l)
San Marzano F Negroamaro 2021,F Negroamaro,Salento,Italy,San Marzano,Southern Italy,Red,2021,4.2,21.15,EUR,Bottle (0.75l)
Domaine Anne Gros & Jean-Paul Tollot L'O de la Vie 'Cazelles' 2018,L'O de la Vie 'Cazelles',Minervois,France,Domaine Anne Gros & Jean-Paul Tollot,Languedoc-Roussillon,Red,2018,4,21.18,EUR,Bottle (0.75l)
Abbotts & Delaunay Alto Stratus 2015,Alto Stratus,Minervois,France,Abbotts & Delaunay,Languedoc-Roussillon,Red,2015,4,21.2,EUR,Bottle (0.75l)
Briziarelli Montefalco Sagrantino 2019,Montefalco Sagrantino,Montefalco Sagrantino,Italy,Briziarelli,Central Italy,Red,2019,4,21.2,EUR,Bottle (0.75l)
Conte Ferdinando Guicciardini Castello di Poppiano Chianti Colli Fiorentini Riserva 2020,Castello di Poppiano Chianti Colli Fiorentini Riserva,Chianti Colli Fiorentini,Italy,Conte Ferdinando Guicciardini,Italian,Chianti,2020,4.1,21.2,EUR,Bottle (0.75l)
Feudi Bizantini Il Rabdomante Montepulciano d'Abruzzo 2021,Il Rabdomante Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italy,Feudi Bizantini,Italian,Montepulciano d'Abruzzo,2021,4.2,21.2,EUR,Bottle (0.75l)
Tenuta Ulisse Masseri Primitivo 2022,Masseri Primitivo,Abruzzo,Italy,Tenuta Ulisse,Central Italy,Red,2022,4.4,21.2,EUR,Bottle (0.75l)
Barbanera LXXX Octaginta 2017,LXXX Octaginta,Toscana,Italy,Barbanera,Tuscan,Red,2017,4.2,21.2,EUR,Bottle (0.75l)
Lungarotti Montefalco Rosso Riserva 2020,Montefalco Rosso Riserva,Montefalco,Italy,Lungarotti,Central Italy,Red,2020,4,21.2,EUR,Bottle (0.75l)
Les Jamelles Sélection Parcellaire Les Traverses Mourvèdre 2019,Sélection Parcellaire Les Traverses Mourvèdre,Pays d'Oc,France,Les Jamelles,Languedoc-Roussillon,Red,2019,4,21.2,EUR,Bottle (0.75l)
Tenuta Ulisse Amaranta Montepulciano d'Abruzzo 2021,Amaranta Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italy,Tenuta Ulisse,Italian,Montepulciano d'Abruzzo,2021,4.3,21.2,EUR,Bottle (0.75l)
Denis Durantou Saintayme Saint-Émilion Grand Cru 2020,Saintayme Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Denis Durantou,Bordeaux Right Bank,Saint-Émilion,2020,4,21.22,EUR,Bottle (0.75l)
Bodega Finca Las Moras Los Intocables Oak Aged Bourbon Barrel Malbec 2022,Los Intocables Oak Aged Bourbon Barrel Malbec,San Juan,Argentina,Bodega Finca Las Moras,Argentinian,Malbec,2022,4.1,21.24,EUR,Bottle (0.75l)
Jules Taylor Pinot Noir 2021,Pinot Noir,Marlborough,New Zealand,Jules Taylor,New Zealand,Pinot Noir,2021,4,21.25,EUR,Bottle (0.75l)
Château Chasse-Spleen L'Oratoire de Chasse-Spleen Moulis 2018,L'Oratoire de Chasse-Spleen Moulis,Moulis-en-Médoc,France,Château Chasse-Spleen,Bordeaux Left Bank,Moulis-en-Médoc,2018,4,21.28,EUR,Bottle (0.75l)
Château Chauvin Folie de Chauvin Saint-Émilion Grand Cru 2018,Folie de Chauvin Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Chauvin,Bordeaux Right Bank,Saint-Émilion,2018,4.1,21.29,EUR,Bottle (0.75l)
Xavier Vignon Arcane l'Étoile,Arcane l'Étoile,Beaumes-de-Venise,France,Xavier Vignon,Southern Rhône,Red,N.V.,4.1,21.29,EUR,Bottle (0.75l)
Château Mazeyres Le Seuil de Mazeyres Pomerol 2019,Le Seuil de Mazeyres Pomerol,Pomerol,France,Château Mazeyres,Bordeaux Right Bank,Pomerol,2019,4.1,21.29,EUR,Bottle (0.75l)
Domaine des Marrans Morgon 'Corcelette' 2022,Morgon 'Corcelette',Morgon,France,Domaine des Marrans,Beaujolais,Red,2022,4,21.29,EUR,Bottle (0.75l)
Bodegas Olarra El Rayo Olarra 2020,El Rayo Olarra,Rioja,Spain,Bodegas Olarra,Spanish,Rioja Red,2020,4,21.3,EUR,Bottle (0.75l)
Li Veli 'Askos' Susumaniello 2022,'Askos' Susumaniello,Salento,Italy,Li Veli,Southern Italy,Red,2022,4.2,21.3,EUR,Bottle (0.75l)
Podere La Berta Olmatello Sangiovese Superiore Riserva 2020,Olmatello Sangiovese Superiore Riserva,Romagna,Italy,Podere La Berta,Northern Italy,Red,2020,4,21.3,EUR,Bottle (0.75l)
Château La Grande Clotte Lussac-Saint-Émilion 2020,Lussac-Saint-Émilion,Lussac-Saint-Émilion,France,Château La Grande Clotte,Bordeaux Right Bank,Saint-Émilion,2020,4,21.3,EUR,Bottle (0.75l)
Spinelli Le Stagioni del Vino Capitolo 9 Montepulciano d'Abruzzo 2022,Le Stagioni del Vino Capitolo 9 Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,Italy,Spinelli,Italian,Montepulciano d'Abruzzo,2022,4.1,21.39,EUR,Bottle (0.75l)
Laurent Perrachon Vieilles Vignes Fleurie 2022,Vieilles Vignes Fleurie,Fleurie,France,Laurent Perrachon,Beaujolais,Red,2022,4,21.39,EUR,Bottle (0.75l)
Château La Gravière Lalande-de-Pomerol 2019,Lalande-de-Pomerol,Lalande-de-Pomerol,France,Château La Gravière,Bordeaux Right Bank,Libournais Red,2019,4.2,21.39,EUR,Bottle (0.75l)
Domaine de la Solitude Pessac-Léognan 2020,Pessac-Léognan,Pessac-Léognan,France,Domaine de la Solitude,Bordeaux Left Bank,Pessac-Léognan,2020,4.1,21.4,EUR,Bottle (0.75l)
Claus Preisinger Blaufränkisch Kalkstein 2022,Blaufränkisch Kalkstein,Burgenland,Austria,Claus Preisinger,Austrian,Blaufrankisch,2022,4,21.4,EUR,Bottle (0.75l)
Château Malartic-Lagravière Le Comte 2020,Le Comte,Pessac-Léognan,France,Château Malartic-Lagravière,Bordeaux Left Bank,Pessac-Léognan,2020,4,21.4,EUR,Bottle (0.75l)
Altesino Rosso di Montalcino 2022,Rosso di Montalcino,Rosso di Montalcino,Italy,Altesino,Tuscan,Red,2022,4,21.4,EUR,Bottle (0.75l)
Peppucci L’Altro Io 2018,L’Altro Io,Todi,Italy,Peppucci,Central Italy,Red,2018,4.1,21.42,EUR,Bottle (0.75l)
Cantine Paradiso Angelo Primo 2021,Angelo Primo,Puglia,Italy,Cantine Paradiso,Southern Italy,Red,2021,4.2,21.44,EUR,Bottle (0.75l)
Château la Haye Saint-Estèphe 2017,Saint-Estèphe,Saint-Estèphe,France,Château la Haye,Bordeaux Left Bank,Saint-Estèphe,2017,4,21.44,EUR,Bottle (0.75l)
Château Fonplégade Fleur de Fonplégade Saint-Emilion 2021,Fleur de Fonplégade Saint-Emilion,Saint-Émilion Grand Cru,France,Château Fonplégade,Bordeaux Right Bank,Saint-Émilion,2021,4,21.46,EUR,Bottle (0.75l)
Château Trapaud Saint-Émilion Grand Cru 2016,Saint-Émilion Grand Cru,Saint-Émilion Grand Cru,France,Château Trapaud,Bordeaux Right Bank,Saint-Émilion,2016,4,21.47,EUR,Bottle (0.75l)
Dominique Roger Domaine du Carrou Sancerre Rouge 2022,Domaine du Carrou Sancerre Rouge,Sancerre,France,Dominique Roger,Upper Loire Valley,Red,2022,4,21.5,EUR,Bottle (0.75l)
Domaine de la Navicelle Éole Syrah 2017,Éole Syrah,Var,France,Domaine de la Navicelle,French,Méditerranée,2017,4,21.5,EUR,Bottle (0.75l)
